Version,LineCount,Threads,Run,TaskClock,Cycles,Instructions,CacheMisses,ContextSwitches,MinorFaults,MajorFaults,ElapsedTime,CPUUtilization,MaxRSS,MaxCharTime
V0,1000000,1,1,2804.91,4337118351,12929350324,28760755,0,422207,0,2.806031918,99.96,1704464,0.801213
V0,1000000,1,10,2873.18,3986195117,12929350861,28771573,0,422206,0,2.879907356,99.77,1704628,0.790650
V0,1000000,1,2,2635.50,4019804390,12929350108,28760673,0,422206,0,2.636388261,99.97,1704628,0.794481
V0,1000000,1,3,2680.48,4000847634,12929350100,28779682,0,422206,0,2.681719056,99.95,1704624,0.791604
V0,1000000,1,4,2635.05,4008354988,12929350088,28765477,0,422206,0,2.636235909,99.96,1704628,0.791613
V0,1000000,1,5,2672.62,4002132238,12929350095,28782873,0,422207,0,2.673468304,99.97,1704628,0.788777
V0,1000000,1,6,2672.00,4005279080,12929350113,28774887,0,422208,0,2.673217667,99.95,1704628,0.788982
V0,1000000,1,7,2645.59,4029631163,12929350091,28760013,0,422207,0,2.646517269,99.96,1704624,0.794107
V0,1000000,1,8,2680.95,3993867938,12929350131,28765951,0,422208,0,2.682521185,99.94,1704628,0.789846
V0,1000000,1,9,2651.04,4007531230,12929350078,28762936,0,422207,0,2.651944914,99.97,1704628,0.793848
V0,1000000,16,1,3347.13,5076493748,12999930022,26591450,0,422241,0,2.008468775,10.42,1704156,0.088464
V0,1000000,16,10,3367.46,5109103507,12996676871,26623542,0,422241,0,2.028526198,10.38,1704152,0.088389
V0,1000000,16,2,3378.40,5106546766,13000682103,26573077,0,422240,0,2.040391988,10.35,1704152,0.088807
V0,1000000,16,3,3321.30,5083014695,12998038895,26602861,0,422239,0,1.984464620,10.46,1704156,0.088525
V0,1000000,16,4,3384.67,5103859436,12996396308,26596555,0,422239,0,2.048687044,10.33,1704152,0.088385
V0,1000000,16,5,3353.16,5146977269,13000429002,26576455,0,422240,0,2.107702887,9.94,1704152,0.088742
V0,1000000,16,6,3403.55,5130107081,13000397948,26621955,0,422239,0,2.060932012,10.32,1704152,0.088900
V0,1000000,16,7,3340.11,5085524164,13001321489,26601449,0,422240,0,2.001494924,10.43,1704156,0.088780
V0,1000000,16,8,3358.17,5072661520,12997160970,26582620,0,422238,0,2.022080025,10.38,1704156,0.088394
V0,1000000,16,9,3373.46,5092444550,13000283327,26595012,0,422241,0,2.032469012,10.37,1704156,0.088726
V0,1000000,2,1,2697.36,4178200216,12941745440,28827214,0,422202,0,2.304289680,58.53,1704600,0.406886
V0,1000000,2,10,2695.00,4172704866,12941676509,28822207,0,422202,0,2.300547116,58.57,1704636,0.407609
V0,1000000,2,2,2662.30,4164765765,12941741351,28824304,0,422204,0,2.268003262,58.69,1704636,0.407105
V0,1000000,2,3,2614.02,4088400153,12940187615,28781922,0,422203,0,2.221075675,58.85,1704636,0.392552
V0,1000000,2,4,2753.67,4213459160,12941758786,28820014,0,422202,0,2.359522355,58.35,1704632,0.406005
V0,1000000,2,5,2716.96,4164050034,12941710334,28828328,0,422204,0,2.322448035,58.49,1704636,0.408260
V0,1000000,2,6,2740.16,4177729786,12941741969,28817409,0,422204,0,2.344288032,58.44,1704636,0.405676
V0,1000000,2,7,2718.75,4190422395,12941718772,28824033,0,422202,0,2.324613610,58.48,1704636,0.406352
V0,1000000,2,8,2741.76,4170548678,12941752329,28820322,0,422202,0,2.346190757,58.43,1704636,0.406797
V0,1000000,2,9,2770.95,4229632508,12941708076,28816179,0,422203,0,2.376368196,58.30,1704636,0.406161
V0,1000000,20,1,3708.15,5847084899,13021862365,25344742,0,422249,0,2.038377403,9.10,1704312,0.089156
V0,1000000,20,10,3703.66,5899070747,13021922437,25351390,0,422251,0,2.038866669,9.08,1704312,0.089104
V0,1000000,20,2,3651.74,5837970060,13022228190,25358762,0,422252,0,1.988847042,9.18,1704316,0.089181
V0,1000000,20,3,3848.46,5844910905,13022156832,25337195,0,422249,0,2.184233925,8.81,1704316,0.089261
